,203_C1_D15,204_C1_D15,207_C1_D15,208_C1_D15,209_C1_D15,303_C1_D15,304_C1_D15,305_C1_D15,302_C1_D15,401_C1_D15,402_C1_D15,403_C1_D15,101_C1_D15,102_C1_D15,103_C1_D15,104_C1_D15,108_C1_D15,112_C1_D15,117_C1_D15,118_C1_D15,123_C1_D15,124_C1_D15,128_C1_D15,129_C1_D15,130_C1_D15,131_C1_D15,133_C1_D15,134_C1_D15
CEP135,-0.09,-0.13,0.57,-0.08,0.01,0.13,0.57,0.07,-0.37,-0.3,0,0.29,0.12,0.26,0.3,-0.38,-0.19,-0.5,-0.92,-0.14,0.08,0.3,0,-0.15,0.54,0.74,-0.12,0.57
FGF5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CPLX1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAA15,0,-0.15,-0.46,-0.23,0,-0.09,0,-0.03,-0.02,0,-0.2,-0.02,-0.05,0,0.34,-0.33,0.24,-0.22,-0.22,1.02,-0.07,-0.16,-0.07,-0.26,-0.68,-0.28,-0.59,0
FGFR3,-0.06,0.55,0.3,0.36,0.34,1.82,-0.35,0.77,0,-0.25,0.83,-0.1,-0.68,-0.4,0,-0.32,0.66,2.28,0.41,0,-0.38,-0.07,-0.76,0.56,-0.48,-0.58,0.53,-0.31
TACC3,0,-0.93,-0.59,-1.33,-0.08,-0.62,-0.43,-0.71,-0.18,-0.28,0.15,-0.66,-0.91,1.15,0.11,0.33,0.08,-0.61,-0.61,-0.18,-0.93,0.02,-0.72,-0.55,-0.5,-0.58,-0.35,-1.21
GYPB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GABRA2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SMAD1,0.11,0.36,-0.07,-0.04,0.09,-0.39,0.29,0,0.03,0.3,-0.46,-0.34,0.24,-0.2,0.12,-0.32,-0.69,0,-0.2,0.28,0.09,-0.01,0.24,0.48,-0.05,0.18,-0.1,0.36
PCDH7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMEM126B,-0.29,0.58,-0.33,0.43,0.11,-0.22,0.2,0.06,0.58,0.38,-1.11,0.79,0.28,-0.41,-0.01,-0.4,-0.17,0.08,-0.63,0.46,-0.28,-0.06,-0.21,0.17,0.05,-0.02,0,0.25
RUFY3,0.15,-0.53,0.42,0.09,0.13,-0.61,0.68,0.55,-0.03,-0.01,-0.14,-0.15,0.38,0.28,0.63,-0.33,-0.78,-0.21,-1.36,0.09,0.34,0.15,-0.31,-0.55,-0.39,0.67,-0.78,0.99
GRSF1,0.19,0.55,0.02,0.51,-0.09,0.97,-0.15,0.17,0.12,0.08,-0.32,0.24,0.05,-0.25,-0.4,-0.28,0.22,0.44,0.09,0.42,-0.04,-0.02,0.25,-0.01,0.27,-0.16,0.3,-0.16
HTN3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UGT2A1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UGT2B11,1.52,8.3,5.31,5.4,2.48,-1.83,6.81,-0.41,6.13,0,-0.19,3.24,-0.79,0,0,3.22,-1.21,5.34,-1.92,4.02,2.23,-0.73,0,1.89,0.35,4.52,-1.25,0
OTUD4,-0.1,0.28,-0.34,-0.74,0,-0.69,-0.23,-0.24,-0.31,0.01,-0.37,0,-0.01,0.8,0.07,-0.18,0.64,0.49,0,0.11,0,-0.08,0.15,-0.69,-0.4,0.15,-0.29,-0.28
OTUD4,0.39,-0.12,0,-0.41,0.46,-0.9,0,-1.19,0,-0.04,0,-0.34,-0.21,0.35,-0.33,0,0.54,0.33,-0.27,0,-0.11,0.01,-0.15,0,-0.59,-0.69,0.29,0
ZCCHC4,-0.1,0.71,0.35,0.86,-0.02,0.46,0.21,0.17,-0.67,-0.04,-0.7,0.42,-0.08,-0.5,0.15,-0.05,-0.86,0.25,0.52,-0.82,-0.2,-0.15,0,0.11,0.35,0.31,0,0.43
WDR1,-0.16,0.69,-0.29,0.46,0.31,1.01,-0.46,-0.45,0,-0.49,-0.39,-0.03,0.75,0.67,0.61,0.7,-0.23,0.29,0.3,-0.62,-0.52,0.12,-0.09,0.19,0.64,-0.64,0.93,0.05
SLC2A9,-0.48,0.61,-0.47,0.34,0.68,-0.94,-0.25,-0.72,0.32,-0.23,0.15,-0.07,0.47,1.13,0.86,-0.55,-1.13,-0.61,0.53,-0.62,0.81,-0.01,0.43,0.03,-0.06,-0.36,0.74,0.03
PSAPL1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GSTCD,-0.53,-0.69,-0.73,0.77,0,0,-0.47,-0.78,0.46,0.34,-0.58,0.15,0.94,-1.15,0,-0.83,0.27,0.01,0,0.39,-0.04,-0.15,0.15,-0.56,0.26,-1.12,0.14,0
LEF1,-0.73,-1.08,-0.76,-1.19,0.81,0.96,-1.45,-0.72,-0.33,-0.27,1.1,-0.17,-0.38,1.18,-0.08,0.01,-0.84,-0.55,-0.83,-0.04,0.46,0.01,-0.24,0.1,0,0.1,0.58,-0.43
HPGD,1.19,-0.57,0,-2.55,-0.82,-1.82,0.71,-0.72,-0.6,0,0.08,0.88,-2.04,-0.01,1.19,-0.89,-0.61,-2.12,0.25,3.31,0.84,0.66,-0.81,1.48,-1.27,0.35,0.75,0.17
TMEM33,0.41,0.32,-1.09,0.11,0.08,-0.01,-0.71,-0.47,-0.11,0.21,0.06,-0.11,0.4,0.1,0.17,-0.15,1.47,-0.15,-0.83,0.8,0.01,0,-0.18,-0.35,-0.71,-0.17,-0.17,-1.12
SLC10A7,0.36,1.31,-0.51,2,0.1,0.65,0.01,0.18,0,-0.09,-0.42,-0.23,-0.12,-0.46,0,-0.65,0.1,-0.01,-0.57,1.38,0.55,-0.14,-0.51,0.2,0.09,-0.07,0.08,0.18
OCIAD1,0.44,0.08,-0.57,0.57,-0.25,0.15,-0.05,0.26,0.19,0.19,-0.44,0.22,-0.12,-0.62,0,-0.33,0.71,0.71,-0.12,-0.07,-0.47,0.1,0,0,0.38,-0.11,0.26,-0.23
PALLD,-0.05,-0.51,-0.12,-0.56,0.48,-2.68,0.17,-0.74,-0.16,0.15,-0.63,0.4,0.43,1.4,1.16,-0.29,-0.43,-0.87,-1.97,0.21,1.7,0.89,-0.04,-0.18,0.63,0.14,0.76,1.15
TEC,-0.95,0,-0.3,-0.48,0,0.85,-0.06,0,0,-0.2,0.12,0.27,-0.86,0.69,0.93,-0.32,-0.78,-1.24,-0.57,0,0,0.8,0.47,-0.38,0.34,0,0,0.01
LNX1,0.69,-0.27,-0.3,0.91,-0.47,1.31,-1.16,1.17,0,0.05,0,-0.98,-0.1,0,-2.19,-0.32,0.86,-0.16,0.63,0.57,0.1,-0.59,-0.58,-0.66,-0.47,-0.67,0.26,-0.87
TRIM2,-0.28,0.63,-0.31,-1.18,0,-1.89,1.5,0.15,-0.14,0.64,-1.26,0.66,0.18,-0.14,0.44,0.47,-1.12,-1.3,-1.53,0.45,1.95,0.56,0,-0.01,0.29,1.84,-0.89,0.96
HNRPDL,-0.17,0.17,-0.08,0,-0.01,-0.61,0,-0.25,-0.2,-0.02,0,0.04,-0.16,0,0.09,0.57,-0.03,0.18,-0.15,0.03,-0.07,0.31,0.07,0.32,-0.07,0.1,-0.06,0.03
PRUNE,-0.33,0.51,-0.03,2.02,-0.46,0.5,-0.71,0.54,0.38,-0.11,-0.34,0.01,0,-0.61,-1.67,-0.14,0.12,1.13,0.47,0,-0.17,-0.75,-0.63,0.1,0.29,-0.63,0.27,-0.45
C4orf21,-0.78,-0.26,-0.55,0,-0.25,-0.62,-0.18,-0.03,0.19,-0.02,-0.21,-0.05,-0.53,0.43,-0.27,-0.98,-0.3,-1.15,-1.35,-0.07,-0.19,-0.61,-0.57,-0.83,0.19,0.24,-0.96,-0.21
MTTP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DNAJB14,-0.06,0.23,0.14,0.36,-0.17,0.08,0.59,0.58,0.11,-0.01,-0.32,0.07,0.48,0.39,0.14,0.3,0.3,-0.08,-0.8,0.15,0.1,-0.21,-0.51,-0.37,-0.03,0.59,-0.52,0.46
WHSC1,0.07,0.15,0.11,-0.84,-0.25,0.52,-0.35,0.18,-0.24,-0.1,-0.22,0.16,-0.14,-0.39,-0.09,-0.51,-0.24,0.42,0.11,-0.41,-0.72,-0.12,0.14,-0.05,-0.04,-0.41,-0.32,-0.23
WHSC2,-0.11,-0.47,-0.25,-0.72,0.22,-0.26,-0.25,0.38,0.35,0.23,-0.15,-0.32,-0.33,-0.13,-0.09,0,-0.09,0.18,0.42,0.67,-0.75,0.08,-0.01,-0.08,-0.47,-0.32,0.08,-0.89
PHOX2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBR4,-0.14,0.45,0.2,1.3,0,-0.73,0.12,-0.36,0.35,-0.29,-0.11,0.54,0.81,-0.15,-0.04,-0.46,0.42,0.74,-0.24,0.61,-0.48,0,0,0,0.79,-0.23,-0.14,-0.45
TWIST2,-0.61,0.27,0.91,-1.27,-0.66,-1.79,0.87,-0.5,0.6,1.11,-0.47,0.41,-0.35,0.81,0,0,-1.1,-2.03,-0.22,1.07,-0.63,1.12,0,0.75,0.04,0.59,0.55,1.43
FBXL5,0.01,0.36,0,0.66,0.25,0.04,0.51,0.48,0.65,0.56,-0.39,0.52,0.09,-0.75,-0.18,0.05,-0.97,0.2,0.04,0.32,-0.35,0.02,-0.02,-0.07,0.49,0.03,0.03,0.37
SMARCAD1,-0.12,0.33,0.23,0.82,-0.07,-0.28,0.8,0.54,-0.11,0.04,-0.39,0.4,0.48,-0.27,-0.04,-0.55,-0.46,-0.39,-0.95,-0.33,-0.04,0.01,-0.32,0.04,0.77,0.65,-0.02,0.79
SCD5,0,-1.58,-1,-1.62,0.93,-0.18,-0.62,1.43,0.13,-0.43,-0.14,0.9,-0.35,-0.67,0.59,-0.3,4.96,-0.69,1.08,-0.24,-0.64,0.93,-0.26,0.49,-0.67,0,-0.08,-1.12
ARSJ,-0.22,-1.53,-1.59,-0.48,1.12,-1.92,0.47,0.1,-0.43,1.08,-0.6,0.11,0.23,0.83,0.35,-0.94,-1.44,-0.56,-1.96,-0.66,1.32,0.5,2.15,0.14,0.45,0.96,0.4,1.12
KLF3,0,0.39,-0.03,0.38,0.21,0.04,-0.71,0.29,-0.24,0.74,-0.41,-0.26,-0.14,-0.14,0.4,-0.54,-0.38,-0.1,0.23,0.28,0.54,0.44,-0.4,0.12,0.01,-0.21,0.66,-0.03
ADAMTS6,1.65,-1.07,-0.3,0.33,2.08,0,0.84,-0.37,0,-0.31,-1.27,0.38,1.16,0,1.34,0,0,-0.62,-2.77,0,-0.21,0.47,-0.01,-0.05,0.86,0,0.57,2.3
ANKHD1,-0.22,0.38,0.31,0.01,-0.22,0.15,-0.17,0.13,0.05,0.17,-0.33,0.19,-0.1,0.05,-0.57,-0.23,-0.65,0.17,0.3,-0.25,0.83,0.13,0.29,-0.2,0.68,0.23,0.19,0.22
MKRN3,-1.77,0,0.07,-0.23,-0.07,2.65,-0.67,0.46,0,-0.14,-0.2,1.77,-1.29,-0.07,0.03,-1.38,0,1.22,-0.73,0,2.02,1.31,0,0.01,0.61,0.21,-0.35,2.06
FGF1,0,-0.29,-1.45,0,1.92,-2.4,-0.71,0,0,-0.59,0,-0.4,0.97,0.35,-1.09,-1.31,0,-0.15,-1.7,0,0.17,0.03,-0.06,-0.62,0.16,-0.67,1.52,0.32
DIAPH1,0.18,-0.12,-0.02,-1.22,0.15,-0.47,0.03,0.12,-0.51,-0.3,0.79,-0.67,-0.14,0.58,0.12,0.72,0.17,-0.07,0.62,-0.51,0.81,-0.28,0.62,0.21,-0.66,-0.14,-0.01,-0.29
PCDH1,-0.01,0.41,0.32,0.94,0.36,1.03,-1.16,0,0.29,-0.49,0.36,-0.72,0.11,-0.43,-1.15,0.29,0.95,0.68,2.23,-0.15,-0.99,0.48,0.29,0.64,0.88,-0.52,0.85,-1.06
KIAA0141,-0.08,0,0.16,0.05,0.39,-0.39,-0.09,-0.22,0.09,0.08,0.48,-0.17,-0.07,0.17,0.29,-0.12,-0.37,-0.04,0.57,-0.13,-0.67,-0.1,0.73,0.11,0.05,0.19,-0.05,0.11
PCDHB2,1.35,1.43,-0.15,-2.15,1.67,-1.59,-1.32,2.25,-0.18,0.97,3.2,0.32,2.54,-0.5,-0.45,-0.09,1.66,-2.11,-2.08,0,2.07,1.12,-0.86,0.52,-0.21,0.85,-0.37,-0.19
BASP1,-0.08,-1.19,-0.65,-1.06,0.82,-1.92,0.32,0.84,-0.38,-0.62,0.91,0.14,-0.18,0.93,1.2,0.08,-1.18,-0.86,-1.24,0.23,-0.15,0.36,0.01,0.15,-0.3,0.26,0.53,0.57
FLT4,-0.31,-0.27,0.33,0,0.35,-0.32,-0.03,0.33,-0.53,-0.29,0.04,-0.69,-0.09,0.89,0.87,0,-0.04,0.22,0.48,-0.02,0.11,-0.55,-0.19,0.51,-0.26,-0.09,-0.31,-0.12
SEMA5A,0.13,-0.51,-0.04,-0.56,0,-1.5,0.84,0.18,1.34,-0.05,-0.78,1.25,-0.29,-0.41,1.17,0.24,-0.15,-0.32,0.66,-0.27,0.71,-0.01,0.4,0.24,0,1.15,0.01,0.02
ENC1,1.09,0.01,-0.06,-1.28,-0.01,-1.21,-0.24,-0.43,0.29,-0.31,0.09,0,0.4,0.78,0.54,0.36,-0.96,-1.06,0.08,0.02,1.61,0.48,0.87,-0.09,0.8,0.6,0.9,-0.86
GFM2,0.75,0.57,0.26,1.09,0.34,0.15,0.31,0.53,0.45,-0.25,0.76,0.11,0,-0.37,-0.71,-0.07,-0.19,0.33,0.17,-0.25,0.83,-0.41,0.79,0,-0.03,0.72,-0.09,-0.27
UTP15,0.36,-0.6,0.06,1,-0.14,0.04,-0.18,0.2,0.11,-0.11,0.54,-0.07,0.63,-0.68,-0.7,0.1,0.54,0.02,0.47,-0.47,0.39,-0.67,0.31,-0.18,-0.28,-0.28,0.38,-0.32
BTF3,-0.23,-0.18,0.12,0.5,0,0,0.02,0,-0.05,0.04,0.72,0.2,0.27,-0.57,-0.5,-0.08,-0.01,-0.03,0,-0.54,-0.34,-0.2,0,0.09,0.17,0,0.37,-0.07
PCGF3,-0.4,-0.09,-0.01,0.3,-0.01,0.43,-0.09,0.66,0.03,0.39,-0.39,-0.21,0.59,-0.41,-0.16,-0.54,-0.57,1.16,-0.36,-0.71,-0.47,0.19,-0.14,-0.14,0.32,0,0.43,-0.54
LPCAT1,0,-0.79,-0.55,-0.79,0.35,-0.3,-1.01,0,-1.79,-0.31,-0.09,-0.83,0.05,0.33,0.97,-0.07,0.69,-0.51,0.64,0.73,-0.11,0.23,0.28,-0.25,-1.34,-0.96,0,-1.38
PARP8,0.52,0.2,0.48,-1.04,1.25,-1.97,1.43,-0.24,0.91,-0.34,0.45,0.3,-0.08,1.6,0.4,0.8,-0.58,-2.05,0,1.34,0.51,0.31,-0.96,0.17,-0.03,0.74,-0.63,0.2
PCSK1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAST,0.26,0.24,0.62,0.63,0.39,-1.17,-0.23,-0.19,0,-0.12,0.71,-0.11,-0.04,-0.22,-0.08,1.05,-1.06,-0.5,0.46,0,1.01,0.46,1.34,-0.24,-0.23,0.43,0.12,0.81
GPR150,-0.36,1.69,-0.7,-1.67,0.68,-1.02,0.14,0,0.93,-0.26,0.94,0.56,-0.99,1.79,1.99,0.36,-0.76,-1.56,0.39,0,1.26,0.08,-0.07,0.46,0.07,-0.79,1.9,0.41
SNX18,1.36,-0.55,0.75,-0.24,0.1,-0.5,0.38,-0.31,-0.6,0.15,0.56,0.16,0.46,0.73,1.48,0.6,0.46,-0.44,0,0,-0.25,0.44,0.09,-0.24,-0.53,0.23,-0.8,0.25
CSNK1A1,0.87,-0.27,-0.23,0.61,0.27,0.86,-0.53,0.59,-0.19,0.17,0.01,0,-0.16,-0.47,-0.51,-0.26,1.36,-0.64,0.64,0.39,0.22,-0.09,0.99,0.02,0.26,-0.18,0.43,-0.59
F2R,-0.71,-0.01,0.37,-0.94,-0.5,-2.15,-0.23,0.03,0.27,0.21,0.05,0.79,0,0.31,0.25,0.69,-0.54,-2.28,-0.23,-0.32,0.03,0.77,1.43,0.25,-0.22,0.4,1,-1.21
HK3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNF44,0.06,-0.18,0.69,0.21,-0.32,0.27,-0.17,0.69,0.41,-0.01,0.12,-0.01,-0.01,0.3,-0.82,-0.12,-0.21,0.11,0.46,-1.23,0.41,0.25,0.41,0.04,0.61,0.56,0.43,0.29
CSNK1G3,0.56,-0.98,-0.65,-0.23,0.34,0.03,-0.11,0.1,-0.17,0.42,0.69,0,-0.57,0.1,0.74,-0.14,-0.71,-0.34,0.21,0.53,0.29,0.21,0.43,-0.34,-0.59,0.21,-0.1,-0.4
ADAMTS2,-0.46,-0.07,0.3,-0.4,1.21,-1.76,0.98,-1.14,0.06,0.46,-0.33,0,0.61,1.49,1.93,0.46,-0.91,-1.16,-0.27,0,0.44,1.15,0.11,0.14,0,0.08,0.9,0.48
PPP2R2B,-0.34,-0.39,-0.67,0,1.16,-0.42,0.59,-0.14,1.61,0.98,0.6,0.54,-0.97,0.71,0.04,0,-0.59,-1.59,-0.8,0.19,-0.49,0.27,-0.24,0.9,-0.22,0.51,-0.04,-1.07
AHNAK,1.25,0.73,1.01,-1.74,-0.03,-0.09,0.17,0.29,0.07,0.79,-0.24,0.28,-2.09,-0.8,-0.01,-0.57,1.06,0.05,0.39,1.44,0.1,0.43,-0.15,-0.01,0.54,-0.48,0.07,-0.84
PANK3,0.32,-0.31,-0.55,-0.07,0.33,0.6,-0.48,0.06,-0.43,-0.36,0.53,0.22,0.61,-0.47,-0.11,-0.48,0.83,-0.41,0,0.78,-0.53,0,1.06,-0.37,-0.18,-0.25,0.14,-0.48
PPIP5K2,-0.05,-0.33,0.09,-0.07,0.5,0.37,0.7,0.36,0.06,-0.03,0.41,0.04,-0.02,-0.42,0.58,-0.34,-0.72,-0.08,-0.07,-0.38,-0.18,-0.2,0.82,-0.18,-0.15,0.61,-0.33,0.52
PAM,-0.27,-0.34,0.69,-0.06,0.58,-2.06,0.36,-0.59,-0.24,0.53,0.15,0.38,-0.05,0.54,0.21,0.34,-1.39,1.3,-1.67,-0.19,0.99,0.64,0.39,0.3,0.34,1.06,0.38,0.71
NRG2,0,0.38,0,-0.13,-0.5,0.22,0.91,0.27,0,0.32,-0.79,0.55,-1.43,-1.21,-0.9,-0.58,-0.25,0.41,2.65,0,-0.3,-0.44,1.39,0.57,0.11,1.89,0.65,-0.4
IL4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UQCRQ,-0.17,0,0,1.22,0,0.28,-0.8,-0.34,0.11,0,0,0.48,0,-0.93,0,-0.2,-0.04,0.73,1.28,0.04,0.29,-0.88,0.72,0.79,0,0,0.41,-0.59
CAMLG,-0.01,-0.18,0.03,-0.14,0.18,-0.2,0.48,0.65,0.47,0.09,1.09,0.23,-0.28,-0.14,0.17,-0.2,-0.11,-0.33,1.53,-0.02,-0.29,0.03,0.77,-0.07,0.06,0.08,0.18,0.15
CXCL14,-1.53,0,0.4,0,-1.25,-2.74,0.49,0.22,0,0.74,0,-0.15,-1.47,0.26,-0.73,0.76,-0.49,0,-0.32,-0.02,-0.36,0,-0.21,0.63,-0.09,0.43,-0.2,0.95
PAIP2,0.11,0.17,-0.01,0.72,-0.28,0.96,0.04,0.12,0.29,0.29,-0.62,0.4,-0.17,-0.77,-0.9,-0.28,0.08,0.08,0.15,0.69,-0.47,-0.02,0.49,0.03,0.54,0.06,0.03,0.03
MAGI2,0.28,0.18,-0.35,-0.55,-0.13,0.28,-0.06,0.31,0.63,-0.28,0.04,0.21,-0.6,-0.01,-0.66,-0.92,-1.27,-0.52,0.61,1.39,0.51,1.07,-0.4,-0.09,0.58,0.29,0.4,1.07
ANKH,-0.29,-0.05,-0.43,-0.88,0.69,-0.32,-0.85,-1.16,-0.91,-0.56,0.42,-0.04,0.34,1.02,0.8,0.14,-1.43,1.15,-0.24,-1.46,0.9,0.33,2.1,-0.38,-0.08,-0.37,1.45,0.38
SYNPO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCDC69,0,0.85,2.42,-0.07,0.85,-0.24,0.51,0,0,0.47,0.67,-0.1,-0.89,-0.56,0.21,0.74,0,-0.28,-0.2,0,-1.12,0.17,-0.26,2.04,-0.64,2.46,-0.45,0.68
LAMB2,-0.32,-0.14,0.29,0.4,0.03,-2.21,-0.29,-1.47,-0.64,0.59,0.03,-0.21,0.6,0.65,0.15,0.16,-0.57,0.73,0.01,-0.17,0.69,0.4,-0.03,0.25,-0.12,-0.28,0.42,0.58
SPINK7,-0.07,-0.11,-0.2,-0.07,0.05,0.16,-0.25,0.02,-0.15,0.21,0.08,-0.18,-0.24,0.02,0.02,-0.42,-0.32,-0.02,0.02,0.23,-0.12,0.09,-0.07,-0.18,-0.33,-0.29,0.16,-0.06
ATP6V0E1,0.29,0.72,-0.4,0.27,0.33,0.35,0.01,-0.27,-0.07,-0.35,0.21,0.27,0.11,-0.02,0.18,0.22,-0.01,-0.06,0.74,0.23,-0.49,-0.01,0.52,0.09,0.06,-0.1,0.42,-0.12
C7,-2.71,0.69,1.85,-2.12,-2.55,-0.05,0.51,0.32,0,1.41,0.92,1.35,-2.05,-1.39,2.06,1.79,-0.87,-2.52,0.3,0,0,0.02,-0.16,1.74,-0.76,1.45,-1.75,-0.45
FAM193B,0.15,-0.22,0.59,-0.13,0,-0.41,0.57,0.41,-0.4,-0.07,0.53,0,0.66,0.22,0.14,0.28,-0.06,-0.1,-0.14,-1.01,0.43,-0.08,0.03,-0.12,0.29,0.76,-0.04,0.32
C5orf42,-0.32,-0.69,0.43,0.24,0.04,1.17,0.51,0.67,-0.6,0,1.31,-0.39,0.25,-0.26,0.21,0.07,0.18,0,0,-0.22,0.1,-0.3,0.06,-0.57,0.09,0,0,0
NIPBL,0,-0.12,-0.06,0.14,-0.27,-0.1,0.23,0.31,0,0.06,0.29,0.07,-0.3,-0.13,-0.46,-0.41,0.1,-0.16,-0.46,0,1.07,-0.01,0.08,-0.25,0.13,0.42,-0.37,0.28
MEGF10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PHAX,0.5,0.15,-0.06,0.57,0.09,-0.86,0.19,0.21,0.24,-0.1,0.02,0.32,0.03,-0.72,-0.36,-0.05,0.26,0.02,0.14,0.35,-0.04,-0.24,0.39,0.15,0.01,-0.02,0.2,-0.12
GABRG2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HBEGF,-0.16,-0.25,0.25,-0.37,0.91,-0.27,-0.26,-0.19,-0.3,0.35,0.37,-0.29,-0.2,0,0.82,-0.01,0.43,0.12,0.95,0,-0.19,-0.46,-0.11,0.15,-0.35,0.17,0.37,-0.11
PPARGC1B,-0.31,0.66,0.77,-1.14,0.22,-1.1,0.43,-0.79,-0.12,-0.33,0.89,-0.03,-0.25,1.24,1.02,0.47,1,0.19,1.12,-1.1,1.1,0.16,0.08,-0.09,-0.49,0.95,-0.11,-0.25
TIGD6,0.53,0.19,-0.18,-0.07,-0.2,0.6,-0.48,-0.07,0.43,0.06,-0.15,0.37,-0.01,-1.06,-1.16,-0.44,0.96,0.01,1.52,0.01,-0.56,0,0.59,-0.08,0.26,-0.26,0.47,-0.36
CDH6,-0.27,1.06,1.32,-0.72,-0.02,-0.88,0.26,-0.2,0.84,0.7,-0.41,0.4,-1,-0.06,1.04,0.11,-1.55,-1.33,-0.97,0.8,0.86,0.71,0.38,1.53,1.3,0.38,0.81,0.32
FBN2,2.33,-0.94,-1.57,0.23,1.62,0,0,-1.54,-1.59,-0.21,-1.24,0.52,0.43,0.81,1.89,-0.04,-1.44,-1.42,-2.08,-0.68,0.28,1.2,1.9,-0.79,2.95,0.04,0.53,0.65
NPM1,0.01,0.34,-0.3,0.57,-0.23,0.2,0,0.28,0.55,0.05,-0.15,0.14,-0.29,-0.36,-0.17,-0.52,-0.58,-0.01,0,-0.19,-0.03,-0.03,0.93,-0.04,0.6,0,0.15,0.32
FBXW11,0.32,0.4,0.35,0.32,-0.04,0.44,0,0.02,-0.03,0.32,0,0.39,-0.13,-0.65,-0.56,0.03,0.38,0.11,0.45,-0.15,-0.19,0.42,0.81,-0.08,0.84,0.13,0.64,-0.19
NR3C1,0.07,0.48,0.91,-0.83,0.2,-0.86,1.11,-0.15,0.28,0.78,-0.29,0.23,-1.38,0.51,0.48,0.27,-1.33,-1.29,0.53,0.55,-0.03,0.69,-0.06,0.27,-0.5,0.89,-0.47,0.68
ARHGAP26,-0.49,1.34,0.74,1.21,0.48,-0.86,0.91,-1.37,-0.52,0.3,-0.05,-0.2,-0.46,1.92,1.09,0.29,-1,1.01,-0.35,-1.67,0.5,0.17,0.46,0.03,-0.88,0.15,-0.05,-0.99
SPINK1,0.46,-1.59,-2.15,-0.33,1.94,-0.69,-2.43,1.31,1.13,-2.15,-0.02,-1.41,-0.01,0.19,-1.68,3.53,0,0.11,1.98,1.07,0.35,0.39,-0.78,-1,-1.53,10.21,0.02,-0.55
EGR1,-0.51,-0.69,-0.16,-1.15,-0.24,-2.45,-0.93,-0.66,0.08,-0.42,-0.67,0.14,-0.35,1.25,0.61,0.64,-0.47,-2.05,-1.58,-0.21,0.1,1.13,0.76,0.39,-1.24,1.77,0.4,0.41
CEP63,0.07,0.34,0.12,0.2,-0.09,0.56,0.18,-0.21,0.26,0.56,-1.03,0.1,-0.2,-0.8,-0.04,-0.57,0.39,0.23,0.11,0.38,-0.3,-0.14,0.01,0.06,0.16,-0.04,-0.4,0.14
LYPLA1,1.62,0.62,0.54,0.15,0,0.87,-0.29,0.38,0.43,-0.76,-0.73,1.18,0,-0.81,-0.68,0.7,-0.52,1.07,0.85,0.25,0,-0.89,0.57,0.14,0.9,-0.29,0.37,-0.38
TPMT,0.28,-0.06,-0.36,0.27,0.47,0,-0.59,0.32,0.25,0.11,0.24,0.45,-0.22,0.12,0.73,-0.28,0.47,0.19,-0.62,0.93,-0.28,-0.99,0,-0.03,-0.49,-0.63,-0.31,-0.36
KIF13A,0.22,-0.26,0.3,-0.03,0.42,-0.82,-0.21,-0.25,-0.33,0.45,-0.18,-0.24,0.15,0.02,0.29,-0.15,-0.92,0.35,-0.62,0.36,0.22,0.19,0.26,-0.13,0.47,-0.75,0.39,-0.25
AMD1,-0.29,-0.8,-0.51,-1.02,0.24,-1.33,0.29,-0.09,0.35,-0.28,0.98,-0.08,0,0.78,0.87,0.53,0,0,-0.33,0.29,0.64,-0.42,-0.09,-0.02,-1.03,0.15,-0.85,-0.31
